row_id,purchase_likelihood,perceived_fit,trust,perceived_tradeoff_risk,demand_rationale,demand_model,demand_parse_success
unified_p0_headphones_000,85,6,6,3,Good balance of features and price for quality-focused user.,gemma2:9b,True
twostage_p0_headphones_000,65,6,6,4,"Good quality and brand fit, but price is slightly above budget.",gemma2:9b,True
unified_p0_headphones_001,85,6,6,3,"Affordable price, good battery life, matches casual use case.",gemma2:9b,True
twostage_p0_headphones_001,85,6,6,4,"Fits budget, desired features, acceptable tradeoffs.",gemma2:9b,True
twostage_p0_headphones_002,85,6,6,3,"High quality, trusted brand, fits budget and use case.",gemma2:9b,True
unified_p0_headphones_003,85,6,6,3,"Affordable price, good features align with budget and use case.",gemma2:9b,True
twostage_p0_headphones_003,85,6,6,3,"Fits budget, desired features, and use case. Some quality concerns.",gemma2:9b,True
unified_p0_headphones_004,75,6,6,3,"Good value for money, fits budget and needs.",gemma2:9b,True
twostage_p0_headphones_004,85,6,6,2,"High quality, fits budget, trusted brand, good features.",gemma2:9b,True
unified_p0_headphones_005,72,6,6,3,"High quality matches audiophile needs, price is a moderate concern.",gemma2:9b,True
twostage_p0_headphones_005,65,6,6,4,"High quality aligns with audiophile preference, but price exceeds budget.",gemma2:9b,True
unified_p0_headphones_006,82,6,6,4,"Good price, long battery life, suitable sound for gaming.",gemma2:9b,True
twostage_p0_headphones_006,75,6,6,4,"Affordable, good battery life, but basic noise cancellation.",gemma2:9b,True
unified_p0_headphones_007,85,6,6,3,"Affordable price, decent features align with budget-casual use.",gemma2:9b,True
twostage_p0_headphones_007,85,6,6,3,"Fits budget, desired features, and casual use case.",gemma2:9b,True
unified_p0_headphones_008,85,6,6,3,"High quality, noise cancellation good for gaming, price acceptable.",gemma2:9b,True
twostage_p0_headphones_008,85,6,6,3,High quality and noise cancellation align with gaming needs.,gemma2:9b,True
unified_p0_headphones_009,68,6,6,4,Good features but slightly over budget and bass-heavy sound might not be ideal.,gemma2:9b,True
twostage_p0_headphones_009,65,6,6,4,"Good quality, fit use case, but price slightly exceeds budget.",gemma2:9b,True
twostage_p0_headphones_010,75,6,6,4,High quality and brand familiarity outweigh slight budget exceedance.,gemma2:9b,True
unified_p0_headphones_011,85,6,6,3,"Fits budget, use case, and desired features. Brand is familiar.",gemma2:9b,True
twostage_p0_headphones_011,85,6,6,3,"Good price, familiar brand, fits budget and use case.",gemma2:9b,True
unified_p0_headphones_012,85,6,6,3,"Affordable price, good battery life, suitable for commuting needs.",gemma2:9b,True
twostage_p0_headphones_012,85,6,6,3,"Fits budget, commuting use case, and desired features.",gemma2:9b,True
unified_p0_headphones_013,75,6,6,3,"Good fit for commuting needs, slightly above budget but quality justifies it.",gemma2:9b,True
twostage_p0_headphones_013,75,6,6,3,"Good value, fits budget and use case. ANC not top tier.",gemma2:9b,True
unified_p0_headphones_014,80,6,6,3,High-quality noise cancellation and lightweight design are appealing for running.,gemma2:9b,True
twostage_p0_headphones_014,85,6,6,3,High-quality Bose headphones fit use case and budget.,gemma2:9b,True
unified_p0_headphones_015,85,6,6,3,"High quality, fits budget, noise cancellation is ideal for office.",gemma2:9b,True
twostage_p0_headphones_015,85,6,6,3,"High quality, good fit for office use, price slightly above budget.",gemma2:9b,True
unified_p0_headphones_016,75,6,6,4,"Affordable price, good battery life, matches commuting needs.",gemma2:9b,True
twostage_p0_headphones_016,85,6,6,4,"Affordable price, long battery life, and noise cancellation suit commuting needs.",gemma2:9b,True
unified_p0_headphones_017,85,6,6,3,"Good price, quality, and features align with budget-conscious needs.",gemma2:9b,True
twostage_p0_headphones_017,85,6,6,3,"Good value, matches use case and budget. Bass-heavy tuning might be a slight concern.",gemma2:9b,True
unified_p0_headphones_018,85,6,6,3,"Fits budget, familiar brand, good battery life for commuting.",gemma2:9b,True
twostage_p0_headphones_018,85,6,6,4,"Good value for commuting, meets key needs despite some tradeoffs.",gemma2:9b,True
unified_p0_headphones_019,45,6,6,5,High quality but exceeds budget. Consumer may prioritize value.,gemma2:9b,True
twostage_p0_headphones_019,25,6,4,6,High price exceeds budget despite quality appeal.,gemma2:9b,True
unified_p0_laptop_000,82,6,6,4,"Fits budget, good specs for office use. Limited upgradeability noted.",gemma2:9b,True
twostage_p0_laptop_000,85,6,6,3,"Fits budget, good features for office use, brand familiar.",gemma2:9b,True
unified_p0_laptop_001,85,6,6,4,"High quality, fits use case, but price is a concern.",gemma2:9b,True
twostage_p0_laptop_001,85,6,6,3,"High quality, fits use case, but storage may be limiting.",gemma2:9b,True
unified_p0_laptop_002,82,6,6,4,"Good value for student needs, some performance tradeoffs.",gemma2:9b,True
twostage_p0_laptop_002,75,6,6,3,"Fits budget and use case, quality is acceptable.",gemma2:9b,True
unified_p0_laptop_003,85,6,6,4,"Affordable price, decent specs align with student needs.",gemma2:9b,True
twostage_p0_laptop_003,78,6,6,4,"Fits budget, good specs, but some quality concerns.",gemma2:9b,True
unified_p0_laptop_004,75,6,6,4,"High quality, portable, fits use case. Price is slightly above budget.",gemma2:9b,True
twostage_p0_laptop_004,78,6,6,4,"High brand trust and fit for business travel, but price is slightly above budget.",gemma2:9b,True
unified_p0_laptop_005,35,6,6,4,Good specs but exceeds budget and processor is less powerful.,gemma2:9b,True
twostage_p0_laptop_005,60,6,5,4,"High quality and features are appealing, but price exceeds budget.",gemma2:9b,True
unified_p0_laptop_006,82,6,6,3,Good balance of features and price for student use.,gemma2:9b,True
twostage_p0_laptop_006,85,6,6,4,"Affordable, meets basic student needs, some performance limitations.",gemma2:9b,True
unified_p0_laptop_007,65,6,6,4,"Good specs for data analysis, but price exceeds budget slightly.",gemma2:9b,True
twostage_p0_laptop_007,65,6,6,4,"Good value for price, but weaker processor and fixed RAM are concerns.",gemma2:9b,True
unified_p0_laptop_008,78,6,6,4,"Good fit for student use case, but storage and port limitations are noted.",gemma2:9b,True
twostage_p0_laptop_008,85,6,6,3,"Fits budget, high quality aligns with preference, storage a minor concern.",gemma2:9b,True
unified_p0_laptop_009,85,6,6,3,"Good value, OLED display fits student needs, price acceptable.",gemma2:9b,True
twostage_p0_laptop_009,85,6,6,4,"Fits budget, good quality, ASUS familiarity. RAM upgrade lack is a minor concern.",gemma2:9b,True
unified_p0_laptop_010,85,6,6,3,"Fits use case and budget, good specs. Battery life a minor concern.",gemma2:9b,True
twostage_p0_laptop_010,78,6,6,4,"Powerful specs within budget, OLED display is appealing.",gemma2:9b,True
unified_p0_laptop_011,75,6,6,3,"High quality, fits use case, but slightly over budget.",gemma2:9b,True
twostage_p0_laptop_011,78,6,6,3,"High quality, good features, slightly over budget.",gemma2:9b,True
unified_p0_laptop_012,82,6,6,3,"Fits budget, good quality, suitable for student use.",gemma2:9b,True
twostage_p0_laptop_012,82,6,6,4,"Good price, specs match student needs, some minor drawbacks noted.",gemma2:9b,True
unified_p0_laptop_013,85,6,6,4,"High quality, fits use case, but RAM is non-upgradeable.",gemma2:9b,True
twostage_p0_laptop_013,85,6,6,4,"High quality, powerful specs align with creative needs. Price is a concern.",gemma2:9b,True
unified_p0_laptop_014,82,6,6,3,"Fits budget, good quality, suitable for student use.",gemma2:9b,True
twostage_p0_laptop_014,85,6,6,4,"Fits budget, good quality, OLED display appealing.",gemma2:9b,True
unified_p0_laptop_015,85,6,6,3,"Fits budget, good quality, meets basic office needs.",gemma2:9b,True
twostage_p0_laptop_015,85,6,6,3,"Solid specs, fits budget, some tradeoffs on display quality.",gemma2:9b,True
unified_p0_laptop_016,85,6,6,3,"High quality, fits use case and budget. Storage might be limiting.",gemma2:9b,True
twostage_p0_laptop_016,85,6,6,3,"Fits budget, high quality, good brand familiarity.",gemma2:9b,True
unified_p0_laptop_017,78,6,6,4,"Powerful specs align with use case, but price is slightly above budget.",gemma2:9b,True
twostage_p0_laptop_017,85,6,6,4,"High quality and performance align with use case, price is a concern.",gemma2:9b,True
twostage_p0_laptop_018,85,6,6,4,"High quality, fits use case, price is acceptable given budget.",gemma2:9b,True
unified_p0_laptop_019,68,6,6,4,"Good value for the price, but slightly over budget and processor is less powerful.",gemma2:9b,True
twostage_p0_laptop_019,75,6,6,4,"Fits budget, good specs for office use, some performance limitations noted.",gemma2:9b,True
unified_p0_phone_charger_000,85,6,6,3,"Fast charging needs met, Anker trusted, price within budget.",gemma2:9b,True
twostage_p0_phone_charger_000,80,6,6,4,"Fits budget, desired features, and brand preference. Output limitations noted.",gemma2:9b,True
unified_p0_phone_charger_001,65,6,6,4,"Good features for travel, but price is slightly above budget.",gemma2:9b,True
twostage_p0_phone_charger_001,85,6,6,3,High quality and familiarity with Anker outweigh slightly exceeding budget.,gemma2:9b,True
unified_p0_phone_charger_002,85,6,6,3,"Fast charging needs met, price within budget, Anker is familiar.",gemma2:9b,True
twostage_p0_phone_charger_002,65,6,6,4,Apple preference outweighs price concerns slightly.,gemma2:9b,True
unified_p0_phone_charger_003,75,6,6,4,"High quality and wattage are appealing, but price is slightly above budget.",gemma2:9b,True
twostage_p0_phone_charger_003,65,6,6,4,"High quality and wattage are appealing, but price is slightly above budget.",gemma2:9b,True
unified_p0_phone_charger_004,65,6,4,5,"Good value for multi-device charging, but coil whine concerns exist.",gemma2:9b,True
twostage_p0_phone_charger_004,65,6,4,5,Good value but concerns about build quality and heat.,gemma2:9b,True
unified_p0_phone_charger_005,30,6,7,4,"High wattage good for fast charging, but price exceeds budget.",gemma2:9b,True
twostage_p0_phone_charger_005,65,6,4,5,"Good price for fast charging, but concerns about build quality and heat.",gemma2:9b,True
unified_p0_phone_charger_006,85,6,6,3,"Anker is trusted, charger fits travel needs and budget.",gemma2:9b,True
twostage_p0_phone_charger_006,85,6,6,3,"Compact, high-quality charger within budget. Warmth and missing cable are minor concerns.",gemma2:9b,True
twostage_p0_phone_charger_007,65,6,6,4,"High Apple brand trust, but price and wattage limitations are noted.",gemma2:9b,True
unified_p0_phone_charger_008,85,6,6,3,"High quality, compact design good for travel, slightly above budget.",gemma2:9b,True
twostage_p0_phone_charger_008,85,6,6,3,"Compact, fast charging, fits budget. Warmth and lack of cables are minor concerns.",gemma2:9b,True
unified_p0_phone_charger_009,65,6,6,4,Good features but slightly overpriced and warm under load.,gemma2:9b,True
twostage_p0_phone_charger_009,75,6,5,4,"Good quality, fits budget, but brand unfamiliarity is a concern.",gemma2:9b,True
unified_p0_phone_charger_010,75,6,6,4,"High quality and wattage fit use case, but price is slightly above budget.",gemma2:9b,True
twostage_p0_phone_charger_010,75,6,6,4,"High quality Anker product, fits multi-device use case.",gemma2:9b,True
unified_p0_phone_charger_011,75,6,6,3,"High quality and wattage fit the use case, but price is slightly above budget.",gemma2:9b,True
twostage_p0_phone_charger_011,75,6,6,4,High quality and Anker brand preference outweighs price concern.,gemma2:9b,True
unified_p0_phone_charger_012,85,6,6,4,"Good price, sufficient power for office use. Minor drawbacks noted.",gemma2:9b,True
twostage_p0_phone_charger_012,85,6,6,4,"Affordable, compact, and supports multiple devices. Minor user concerns noted.",gemma2:9b,True
unified_p0_phone_charger_013,85,6,6,2,"Compact, fits budget, supports fast charging for compatible devices.",gemma2:9b,True
twostage_p0_phone_charger_013,78,6,6,4,"Compact size fits bedside needs, price is reasonable.",gemma2:9b,True
unified_p0_phone_charger_014,65,6,6,4,"High quality and features are appealing, but price exceeds budget slightly.",gemma2:9b,True
twostage_p0_phone_charger_014,75,6,6,3,Anker brand trust and quality outweigh slight price concern.,gemma2:9b,True
twostage_p0_phone_charger_015,75,6,6,4,"Good value, fits budget and multi-device needs. Fast charging concerns are a slight risk.",gemma2:9b,True
unified_p0_phone_charger_016,78,6,5,3,"Affordable, portable charger with good wattage. Laptop compatibility concern is a slight risk.",gemma2:9b,True
twostage_p0_phone_charger_016,85,6,6,3,"Compact, good quality, fits budget. Warmth and lack of cables are minor concerns.",gemma2:9b,True
unified_p0_phone_charger_017,75,6,4,3,Affordable price and features align with needs. Some quality concerns.,gemma2:9b,True
twostage_p0_phone_charger_017,68,5,4,5,"Good price, but concerns about build quality and heat.",gemma2:9b,True
unified_p0_phone_charger_018,75,6,6,4,High quality and features outweigh slightly higher price.,gemma2:9b,True
twostage_p0_phone_charger_018,75,6,6,4,"High quality Anker product, but slightly over budget.",gemma2:9b,True
unified_p0_phone_charger_019,85,6,6,3,"Fits budget, high quality, compact for travel. Warming concern minor.",gemma2:9b,True
twostage_p0_phone_charger_019,85,6,6,4,"Good value, compact design, meets travel needs.",gemma2:9b,True
