asin,title,brand,price,average_rating,rating_count,features,description,popularity_rank,category,price_tier,popularity_tier,store,categories
B0CC2FVRJW,"Xiaomi Redmi Watch 3 Active Smart Watch Fitness Tracker with 100 Sport Modes, Blood Oxygen Heart Rate Sleep Monitor, Bluetooth Phone Call Watch for iPhone Android, Black",Xiaomi,69.99,4.5,83594,"Ultra-large 1.83"" display - Easier to view: The brand-new ultra-large and iridescent 1.83"" display features rich colours, clear display and stunning vision, allowing you to view everything at a glance from the message notification to workout data. The 2.5D curved high-strength glass allows for a more elegant appearance and better wear resistance. | 200+ watch faces - Change at your will: More than 200 watch faces allow you to change themes at your will. It is easy to show your unique personality at the raise of your hand. Classic rectangle shaped case - Metallic finish middle frame: The classic and simple rectangle watch case features an NCVM-processed body, with a metallic finish that enhances its exquisite appearance. Its dual-colour (tarnish and silver) look also shows your good taste. | Bluetooth voice calls - Easy and convenient: Connect your watch to your smartphone via Bluetooth. Phone calls can be answered on the watch with only a tap. Whether you are working or doing exercise, you can raise your hand to answer phone calls in a cooler and more convenient way. | 100+ fitness modes - More professional and free to practise: Redmi Watch 3 Active smart watch offers you more than 100 sport modes, including 10 professional sports modes*. The built-in sensors and professional sports algorithms can monitor and analyse your body when you do your favourite sports, showing your efforts at a glance. | 5 ATM water resistance - Enjoy the splash: Whether enjoy cool splashes in shallow water or snorkelling, you can wear your watch all the time. 5 ATM water resistance rating*, making daily wear more worry-free. | Blood oxygen saturation detection - Know more about your physical condition: The professional optical oximetry sensor detects your blood oxygen saturation and alert you at a low blood oxygen level, paying constant attention to your health. | All-day heart rate monitor - Stay alert to changes in your heart rate: It can monitor your heart rate 24/7, so you can view the changes at a glance. The alerts will be sent when your heart rate is high, guarding your health around the clock. | Scientific sleep monitoring - Master your sleep: Redmi Watch 3 Active smart watch can accurately record your sleep duration and condition by continuously monitoring your blood oxygen and heart rate at different stages such as deep sleep and light sleep, and provide you with sleep improvement suggestions according to the monitoring data to optimize your sleep quality. | Magnetic charging - 12-day extra-long battery life: Gently place the watch close to the charger and it will be automatically adsorbed for charging. The combination of low power consumption hardware and software provides up to 12 days of battery life*, so you don't need to worry about battery life",,1,smartwatches,midrange,bestseller,,
B07K3HLMTF,Apple Watch Series 3 [GPS 38mm] Smart Watch w/Space Gray Aluminum Case & Black Sport Band,Apple,169.0,4.8,64087,GPS | Optical heart sensor | Water resistance 50 meters | swimproof | Retina display | watchOS,"Apple Watch Series 3 features a GPS, optical heart sensor, and the ability to do more in an Icons-free environment.",2,,premium,bestseller,Apple,"['Cell Phones & Accessories', 'Wearable Technology', 'Smartwatches']"
B09HG8L5HQ,Apple Watch Series 7 [GPS + Cellular 45mm] Smart Watch w/Graphite Stainless Steel Case with Midnight Sport Band,Apple,499.0,4.8,52130,Always-On Retina display | Blood oxygen | ECG | GPS + Cellular | Water resistant,"The larger display enhances the entire experience, making Apple Watch easier and more intuitive to use.",3,,premium,bestseller,Apple,"['Cell Phones & Accessories', 'Wearable Technology', 'Smartwatches']"
B08MVYQTRR,"AGPTEK Smart Watch for Women, Smartwatch for Android and iOS Phones IP68 Waterproof Activity Tracker with Full Touch Color Screen Heart Rate Monitor Pedometer Sleep Monitor, Pink",AGPTEK,44.99,4.2,50643,"【Your Watch, Your Style】1.3""/33mm touch screen covered with rose gold metal frame, so elegant and nice, but sturdy and anti-scratch. The smart watch contains 5 dials readily available to choose from along with another 30 more dials within the app. You can also customize your watch faces. It can be any photo, such as your family, pet ,etc. NOTE: When there is a software update prompt on the APP, it is recommended to upgrade to the latest software version for a better experience! | 【Your Personal Smart Assistant】Activity tracker (pedometer, calories, distance), heart rate, various sport modes, sleep monitoring.,etc. Get notifications of Call, SMS, and APP messages(THE WATCH CAN NOT MAKE MESSAGES, CALLS or TEXT BACK, Bluetooth distance 8-10 meters), remote control of music and cameras, weather report, sedentary reminder, alarm clock, stopwatch, find phone, call rejection, brightness adjustment, power-saving mode, and other functions to meet your daily needs. | 【Long Battery & IP68 Waterproof】The smartwatch only takes 2 hours to charge and can be used for 7-10 days or 30 days standby time, much longer than most traditional watches. The fitness watch is IP68 waterproof, you can wear it when washing hands, in the rain(Note: Do Not use in water more than 100. 40℉, such as showers, saunas, spring, etc). | 【Safe Guard Your Health】Advanced HR sensor for accurate and effective heart rate monitoring, helping you better understand your health and making a reasonable adjustment to your lifestyle. Automatic sleep tracking can monitor your sleep status (deep sleep, shallow sleep, awakening) and provide a comprehensive sleep quality analysis to help become healthier. You can view the summary of your status in the fitcloudpro APP. | 【Overtake Your Expectations】The AGPTEK smart watch is compatible with most iOS 9.0 & Android 5.0 or higher smart phones version to notify you of call, text, email, calendar, and app notifications(NOTE: Bluetooth connection is 8-10m). The package includes:AGPTEK Smart Watch*1, Watch Strap*1, Magnetic Charger*1,User Manual*1. If your have any problem, please feel free to contact our customer service via your amazon account.",,4,smartwatches,midrange,bestseller,,
B09HDDSVJG,Apple Watch Series 3 [GPS 38mm] Smart Watch w/Silver Aluminum Case & White Sport Band,Apple,169.0,4.8,47881,GPS | Optical heart sensor | Water resistance 50 meters | Retina display | watchOS,"Apple Watch Series 3 features GPS, an optical heart sensor, and water resistance.",5,,premium,bestseller,Apple,"['Cell Phones & Accessories', 'Wearable Technology', 'Smartwatches']"
B0B3RRWSF6,"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",Fire-Boltt,28.99,4.2,45970,"Fire-Boltt is India' No 1 Wearable Watch Brand Q122 by IDC Worldwide quarterly wearable device tracker Q122.【Bluetooth Calling Watch】- Fire-Boltt Phoenix enables you to make and receive calls directly from your watch via the built-in speaker and microphone. This smartwatch features a dial pad, option to access recent calls & sync your phone’s contacts.;【High Resolution Display】- Comes with a 1.3"" TFT Color Full Touch Screen and a 240*240 Pixel High Resolution this watch is covered to flaunt the sleek and stylish look always. | 【120+ Sports Modes】- Track each activity effectively with this smartwatch & activity tracker. Track your calories, steps and much more while you are on your fitness journey. This fitness tracker has it all;【In Built Mic & Speaker】- Get HD calling experience with this power-packed watch. Enhance the look of your wrist with attractive colors and sleek finish | 【Smart Health】- With the latest HRS3300 technology track your heart rate anytime of the day or even while you perform some activity. The optical sensors assure results so accurate. Monitor your blood oxygen levels to stay fit and healthy;【Smartphone Notifications】- Get all your mobile phone notifications on this 1.3"" Round Display Full touch smartwatch and never be late for a meeting, party or date. | 【Gaming On Wrist】- Enjoy playing games on the wrist itself as you are on the go. 【Breathe Function】- Ensure your breathing exercise is fit and healthy with the breathing function.; 【Multiple Watch Faces】- Over 100 Cloud based watch faces to choose from and match your outfit and look each day everyday | Included Components: 1 Smartwatch, 1 Manual, 1 Magnetic Charger, 1 Warranty Card; Band Color: Black; Band Material Type: Silicone; Color Name: Black; Human Interface Input: Buttons touch Screen; Case Material Type: Stainless Steel; Clasp Type: Tang Buckle; Compatible Devices: Smartphone tablet iphone android, **Disclaimer** The charging USB needs to be connected to a 4.7V to 5V adapter only for best battery backup",,6,smartwatches,budget,mainstream,,
B0BF57RN3K,"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",Fire-Boltt,29.99,4.2,26912,"Fire-Boltt is India' No 1 Wearable Watch Brand Q122 by IDC Worldwide quarterly wearable device tracker Q122.【Bluetooth Calling Watch】- Fire-Boltt Ninja Call Pro Plus Smartwatch enables you to make and receive calls directly from your watch via the built-in speaker and microphone. This smartwatch features a dial pad, option to access recent calls & sync your phone’s contacts. | 【1.83"" HD Display Smart Watch】- The 46.48mm (1.83-inch) HD display makes the display clear and true-to-life, with vivid colours ensuring smooth readability and keeping the watch as exquisite to look at as when you first lay your eyes on it. | 【AI Voice Assistant】- With built-in Voice assistant, you can simply speak to the smartwatch & get things done on your command | 【100 Sport Modes】- Track every trek you take or every football, cricket kabaddi match you play. With over 100 sports modes Fire-Boltt Ninja Call Pro Plus has you covered. | 【Fire-Boltt Health Suite】- With advanced technology and HRS chipset the smartwatch can give out near to accurate SpO2, Heart Rate readings. This mini health device tracks your sleep to ensure glowing and fresh look each day",,7,smartwatches,budget,mainstream,,
B0BLD1HN66,"SAMSUNG Galaxy Watch 4 44mm Smartwatch with ECG Monitor Tracker for Health, Fitness, Running, Sleep Cycles, GPS Fall Detection, LTE, US Version, Silver",SAMSUNG,207.74,4.6,25548,"BODY COMPOSITION ANALYSIS: Galaxy Watch4 is the first smartwatch to off body composition data right on your wrist, On your own schedule, now you can get readings on body fat, skeletal muscle, body water, basal metabolic rate, and Body Mass Index.Supported Application:Fitness Tracker,GPS,Sleep Monitor. Connectivity technology:Bluetooth,Cellular GPS. Wireless comm standard:Bluetooth | BETTER SLEEP STARTS HERE: Wake up feeling refreshed and recharged with advanced sleep tracking; When you go to bed, your Galaxy Watch4 sleep tracker starts monitoring your sleep and SpO2 levels continuously | BE SMART ABOUT YOUR HEART: Take care of your heart with accurate ECG monitoring and keep an eye on possible atrial fibrillation, a common form of irregular heart rhythm; Share personalized readings with your doctor using the Samsung Health Monitor app on your compatible Galaxy phone | MAKE EVERY WORKOUT COUNT: Get the most out of every exercise session with advanced workout tracking that recognizes 6 popular activities, from running to rowing to swimming, automatically in just 3 minutes; Stay motivated by connecting to live coaching sessions via your smartphone or to dynamic Group Challenges with your friends | GO THE EXTRA MILE: Improve your runs with advanced running coaching technology; VO2 Max readings assess your oxygen levels to manage and track your heart and lung endurance | EXTENSION OF YOUR PHONE: Put the phone features you need right on your wrist and stay connected to calls, texts, notifications, and music streaming, all accessible with a simple tap | GOOGLE ON YOUR WRIST: Tap into the power and convenience of select Google services and apps right from your wrist; Pay for coffee; Get directions to the park; Use Bixby or Google Assistant for help on almost any topic; Stream your favorite tunes on YouTube","Crush workouts and all your health goals with Samsung Galaxy Watch4, the smartwatch that gets you. Push yourself to the next level with Auto Workout Tracking, Advanced Run Coaching, and Group Challenges.***** Track heart and lung endurance with oxygen level monitoring.****** Combining style and function, Galaxy Watch4 offers a number of fashionable bands to match your every mood and all day comfort to keep you looking great from the locker room to the conference room. Staying on top of your day ",8,smartwatches,premium,mainstream,,
B09S17DYG2,"Garmin 010-02064-00 Instinct, Rugged Outdoor Watch with GPS, Features Glonass and Galileo, Heart Rate Monitoring and 3-Axis Compass, Graphite",Garmin,165.1,4.7,22466,"Rugged GPS watch built to withstand the toughest environments.Supported Application:Phone. . Wireless comm standard:Bluetooth | Constructed to U.S. Military standard 810G for thermal, shock and water resistance (rated to 100 meters) | Built in 3 axis compass and barometric altimeter, plus multiple global navigation satellite systems (GPS, Glonass and Galileo) support helps track in more challenging environments than GPS alone | Monitor your estimated heart rate, activity and stress; Train with preloaded activity profiles. Strap material: Silicone | Stay connected with smart notifications (with a compatible smartphone) and automatic data uploads to the Garmin connect online fitness community | Use the trackback feature to navigate the same route back to your starting point; Use the Garmin explore website and app to plan your trips in advance | Battery life: Up to 14 days in smartwatch mode, up to 16 hours in GPS mode, up to 40 hours in Ultratrac battery saver mode","When you can rely on Instinct, the world can rely on you. This rugged, reliable outdoor GPS watch is built for the U. S. Military standard 810G for thermal, shock and water resistance (Rated to 100 meters). The fiber-reinforced polymer case adds strength and durability, and the chemically-strengthened, scratch-resistant display is high-contrast enough to read in bright sunlight, so you can take it with you into the extremes you face every day. Plus, the fully vented silicone bands include two in",9,smartwatches,premium,mainstream,,
B0BFZNDMFC,"Motast Smart Watch 2022 Watches for Women, Fitness Tracker 1.69"" Touch Screen Smartwatch Fitness Watch Heart Rate Monitor, IP68 Waterproof Pedometer Activity Tracker Sleep Monitor for Android iPhone",Motast,39.99,3.9,20524,"Multifunction: This smart watch includes more practical functions, Fitness Tracker (Pedometer, Calories, Distance), GPS tracking, Heart Rate Monitor, Blood Pressure Monitor, 24 Sports Modes, IP68 Waterproof, Sleep Monitor, Blood Oxygen Monitor, Call Notifications, SMS and APP Messages (WhatsAPP, Facebook, Messenger, Instagram...), Music & Camera Control, Brightness Adjustment, Weather Display, Sedentary Reminder, Gmail, Alarm Clock, Stopwatch, Find Phone, Find watch. | 1.69"" Full touch screen smart watches for women: This womens watches features a 1.69 inch TFT color display, makes it clear and intuitive to understand your health and sports data. Strong and durable 2.5D glass makes your smartwatch much more scratch-resistant. With 4 levels of brightness, you can also adjust the brightness to see the display clearly. There are multiple watch faces to choose from, you can also customize the dial to show your personality. | Heart Rate Monitor and Sleep Tracker: Heart rate monitor and blood pressure and blood oxygen monitor can help you better understand your health and make reasonable adjustment on your life-style. Fitness tracker watch also monitor sleep and provides comprehensive analysis of your sleep, accurately recording the deep sleep and light sleep time per night and reminding you to adjust your sleep habits. (NOTE: the data cannot be used as a medical-grade test.) | 24 Sports Modes and Activity Tracker: This womens smart watches ​has 24 sports modes (walking, running, cycling, swimming, skipping, yoga, basketball, football, etc). The sport watch accurately records all-day activities such as steps, calories burned, distances, active minutes. The GPS can track all your workout routes, distances, and physical status during exercise, optimize workouts and detect health trends, inspiring you to improve your health and fitness goals. | IP68 Waterproof fitness smartwatch and 5 Days Battery Life: smart watches is designed with IP68 waterproof rating, you can wear it on many occasions without worries, like exercise, wash hands, play in the rain, etc. Large capacity and low power consumption design offers longer endurance.It support 5 days of normal use and 15 days standby time. (Note: Do Not use in water more than 38 °C, such as showers, saunas, spring, etc).",,10,smartwatches,budget,mainstream,,
B092JKFZPH,"KALINCO Smart Watch, Fitness Tracker with Heart Rate Monitor, Blood Pressure, Blood Oxygen Tracking, 1.4 Inch Touch Screen Smartwatch Fitness Watch for Women Men Compatible with Android iOS",KALINCO,24.59,4.0,20023,"All-day Activity Tracking: This smart watch has 7 kinds of sports modes (Walking, Running, Cycling, Skipping, Badminton, Basketball, Football). The watch display shows your accurate steps, distance, calories, active minutes and you can see more detailed data on App. | Sleep and Blood Oxygen Saturation: The Tracker can monitor your Heart Rate, Blood Pressure, Blood Oxygen (SpO2) and your deep, light sleep state which can help you better understand your health. (NOTE: the data cannot be used as a medical-grade test) | Notifications and More Practical Features: All messages and notifications will show on your wrist and remind you through vibration. It cannot answer call or text on watch. There are also many convenient functions like Timer, Wake-up Gesture, Find Phone, Sedentary Reminder, Music Control and Weather Display. | 1.4 Inch Full-touch Screen & Custom Watch Face: The watch with 1.4 inch LCD screen can provide you with high-quality touch and visual experience. Five levels of brightness options allow you to easily read information in the sun or dark. Also you can choose a picture you like to customize the watch face in HeroBandIII App. (Wristband Size: 5.85 - 8.78 inch) | Great Battery Life and Wider Compatibility: Our smart watch is compatible with iOS 9.0/Android OS 4.4 or above smartphones. It can be used for up to 7 days and standby for 30+ days after fully charged.",,11,smartwatches,budget,mainstream,,
B0B5WDRB5K,"Popglory Smart Watch, Smartwatch with Blood Pressure, Blood Oxygen Monitor, Fitness Tracker with Heart Rate Monitor, Full Touch Fitness Watch for Android & iOS for Men Women",Popglory,25.49,3.9,19862,"Guard your health all day: Using advanced sensors, the watch can detect your blood pressure, heart rate and blood oxygen, and record the data in the companion app HeroBandⅢ to help you better understand the changes in your body. Tips: Please download the latest version of HeroBand III for better use. | Full-touch Screen & Exclusive Wallpapers: Easily switch your look from one to another with the latest collection of watch faces, also you can customize the watch face and create your style. Full touch screen brings you a better interactive experience, offering quick access to workout data. | Perfect Personal Partner: Stay connected with call, text and other app notifications, and convenient tools like timer, stopwatch, wrist sense, DND mode, find phone, sedentary reminder, music control and weather display. | Life and Fitness Companion: The smart watch with 7 sport modes records your all-day activities including steps, distance, calories, sleep status and heart rate. It shows your periods of deep sleep, light sleep and waking time. Note: Walking, Running, Cycling, Skipping, Badminton, Basketball, Football. | Wider Compatibility and Long Battery Life: The sport watch is compatible with iOS 9.0, android 4.4 and above smartphones. Up to 10 days using time and 30+ days standby can keep you organized and productive all day. Understand your fitness, sleep quality and heart health with the app HeroBandⅢ now.",,12,smartwatches,budget,mainstream,,
B0C59KGT61,"Amazfit GTS 2 Mini Smart Watch for Women Girls, Alexa Built-in, GPS Tracker, 14 Days Battery Life, Blood Oxygen Heart Rate Sleep Monitoring, 5 ATM Water Resistant, Android iPhone Compatible-Pink",Amazfit,74.99,4.2,17226,"【BUILT IN AMAZON ALEXA & GPS】You can talk to Amazon Alexa on your Amazfit GTS 2 Mini Smart Watch. Ask questions, get translations, set alarms, and timers, create shopping lists, check the weather, control your smart home devices, and more. Get precise tracking on your daily steps, distance traveled, and calories burned thanks to integrated GPS..Suported Application:Alarm,Calendar,Calorie Tracker,Heart Rate Monitor,Distance Tracking. Connectivity technology:Bluetooth,GPS. Wireless comm standard:Bluetooth | 【14-DAY LONG-LASTING BATTERY】A fully-optimized battery management system provides upto 14 days of battery life for the Amazfit GTS 2 mini watch. Get rid of the anxiety brought on by constant charging, and keep the energy flowing. The 220mAh battery is ready to power you through upto two weeks of activity. | 【70plus SPORTS MODES & 5 ATM WATER RESISTANT】The Amazfit GTS 2 mini features over 70 built-in sports modes, allowing to cover sports enthusiasts whether indoors or outdoors. With 5 ATM water resistance, this fitness watch can resist any of your daily activities and can even be worn while swimming. | 【ALL-ROUND HEALTH MANAGEMENT】This smart watch can provide heart rate monitoring, blood-oxygen saturation measurement, sleep monitoring, stress level monitoring and female cycle tracking, as well as other functions to achieve total health management from your wrist. The PAI health assessment system also processes complex health data with an advanced algorithm to present your physical condition in a simple, single-value score. | 【SupR LIGHT AND THIN & BUILT IN AMOLED DISPLAY】The Amazfit GTS 2 mini adopts a borderless design. Featuring carefully curved 2.5D glass to enhance your most fashionable outfits. With a light 19.5 g weight, a thickness of 8.95 mm (without the sensor base), and a skin-friendly silicone strap, this smart watch allows you to enjoy the lightness of time. And a 1.55-inch vibrant AMOLED screen for enhanced color and clarity. | 【SMART NOTIFICATIONS & COMPATIBILITY】Get an intelligent little pal to remind you of the incoming calls, text messages, apps, and calendars, alarm clock, weather forecast, and suport control the music playback & camera on your smartphone. This smart watch can work seamlessly with iOS 10.0 & Android 5.0 or higher smart phones.","The Amazfit GTS 2 mini is a Smartwatch with the lifestyle switch for all your looks. The customized 1.55-inch stylish square screen offers a larger display area and has a slim aluminum alloy body with 50+ watch faces to suit your everyday mood and outfit. With 14-day battery life for typical use and up to 21 days endurance for basic use, this smartwatch is built to go the distance with you. Come with multiple health tracking functions including 24/7 heart rate monitoring, sleep quality & stress ",13,smartwatches,midrange,mainstream,,
B0BJW6R4YX,"Amazfit Bip U Pro Smart Watch with Alexa Built-In for Men Women, GPS Fitness Tracker with 60+ Sport Modes, Blood Oxygen Heart Rate Sleep Monitor, 5 ATM Water Resistant, for iPhone Android(Green)",Amazfit,54.99,4.2,16590,"【ALEXA & GPS BUILT-IN】You can talk to Amazon Alexa on your Amazfit Bip U Pro smartwatch, Ask questions, get translations, check the weather, control your smart home devices and more. And get precise tracking of your distance, daily step count thanks to integrated GPS..Water resistance depth:50 meters.Suported Application:Alarm,Breath Monitor,Calendar,Calorie Tracker,Heart Rate Monitor. Connectivity technology:GPS. Wireless comm standard:Bluetooth | 【60plus SPORTS MODES & 5 ATM WATER RESISTANT】Featuring 60plus sports modes to help you exercise at a higher level. Water-resistant upto 50 meters, you can wear the fitness watch for swimming and it will record your achievements even underwater. | 【MORE HEALTH TRACKING METRICS】The Amazfit Bip U Pro smart watch can provide all-around health tracking, allowing you to accurately track 24-hour heart rate, blood oxygen levels, stress levels, sleep quality, and female menstrual cycle. | 【LONG 9-DAY BATTERY LIFE】When fully charged you can relax and enjoy more than a full week of travel or work without worrying about chargers. | 【DESIGN FOR ALL-DAY COMFORT】Amazfit Bip U Pro fitness tracker only weighs 31 grams, An ultra-light design you can barely feel when striving for peak performance. ​Featuring a 1.43” large color screen with 320x302 pixel resolution, creates an exquisite visual display, making all incoming calls, messages, and reminders extremely clear. | 【SMART NOTIFICATIONS】Get an intelligent little pal to remind you of the incoming calls, text messages, apps, and calendars, alarm clock, weather forecast, and suport controlling the music and camera of your smartphone.","Amazfit Bip U Pro Smartwatch is designed to give consumers an attractive alternative to today's pricey smartwatches. Boasting a 225mAh battery to deliver up to 9 days of endurance on a single charge. It also has 60+ sports modes with high-precision GPS letting you exercise at a higher level. With 5 ATM water resistance, this fitness tracker can resist any of your daily activities even swimming. Come with multiple health tracking features include 24/7 heart rate monitoring, sleep quality & stress",14,smartwatches,midrange,mainstream,,
B0B4N3FVQK,"Fitbit Charge 5 Advanced Fitness & Health Tracker with Built-in GPS, Stress Management Tools",Fitbit,99.95,4.2,16517,Built-in GPS | Daily Readiness Score | Stress management | SpO2 | Skin temperature,Fitbit Charge 5 Advanced Fitness & Health Tracker.,15,,premium,mainstream,Fitbit,"['Electronics', 'Wearable Technology', 'Fitness Trackers']"
